abstained,agreement_count_distribution,alpha,available_sources,block_b_cap_target,block_b_count,block_b_indices,block_b_q_effective,block_b_reference_count,block_b_reference_seed_offset,block_b_test_score_max,block_b_threshold,block_b_train_exceed_count,block_b_train_exceed_rate,block_c_cap_target,block_c_count,block_c_indices,block_c_q_effective,block_c_reference_count,block_c_reference_seed_offset,block_c_test_score_max,calibration_status,candidate_count,candidate_indices,crossfit_method,dataset_name,exp55_best_p_min,exp56_best_p_min,exp84_p_min,experiment_id,family,hard_count,hard_indices,mean_combined_f1_scope,minimum_attainable_p_by_source,n_test,n_train,no_alert_count,priority_review_count,priority_review_indices,priority_review_posthoc_research_rule,prospective_validated,required_source_agreement,resolution_blocks_two_source_agreement,resolution_eligible_source_count,resolution_eligible_sources,retrospective_counterfactual,rocket_exp40_p_min,routing_uses_test_labels,routing_uses_test_length_for_policy,routing_uses_test_positions,source_count,standard_review_count,standard_review_indices,train_target_len,variant,hard_tp,hard_fp,hard_fn,hard_precision,hard_recall,hard_f1,standard_review_tp,standard_review_fp,standard_review_fn,standard_review_precision,standard_review_recall,standard_review_f1,priority_review_tp,priority_review_fp,priority_review_fn,priority_review_precision,priority_review_recall,priority_review_f1,combined_tp,combined_fp,combined_fn,combined_precision,combined_recall,combined_f1
0,"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.05,rocket_exp40 exp55_best exp56_best exp84,0,1,49,0.0,16,0,1.2247594228479461,0.5533802814015226,0,0.0,0,1,49,0.0,16,0,1.1769881765859733,calibrated,0,,leave_one_out,BirdChicken_normal_1,0.6470588235294118,0.35294117647058826,0.35294117647058826,experiment_152_virtual_run_conformal_policy_v2,BirdChicken,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.058823529411764705, ""exp56_best"": 0.058823529411764705, ""exp84"": 0.058823529411764705, ""rocket_exp40"": 0.058823529411764705}",50,16,50,0,,1,0,2,1,0,,1,0.058823529411764705,0,0,0,4,0,,512,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
0,"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.05,rocket_exp40 exp55_best exp56_best exp84,0,0,,0.0,16,0,0.48383004205639457,1.1574529604882888,0,0.0,0,0,,0.0,16,0,0.5555250851067097,calibrated,0,,leave_one_out,BirdChicken_normal_2,0.17647058823529413,0.8235294117647058,0.058823529411764705,experiment_152_virtual_run_conformal_policy_v2,BirdChicken,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.058823529411764705, ""exp56_best"": 0.058823529411764705, ""exp84"": 0.058823529411764705, ""rocket_exp40"": 0.058823529411764705}",50,16,50,0,,1,0,2,1,0,,1,0.11764705882352941,0,0,0,4,0,,512,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
0,"{""0"": 284, ""1"": 9, ""2"": 3, ""3"": 3, ""4"": 1}",0.05,rocket_exp40 exp55_best exp56_best exp84,3,7,20 294 295 296 297 298 299,0.012096774193548387,248,0,0.7103390512225638,0.13721155431450804,3,0.012096774193548387,2,6,294 295 296 297 298 299,0.008064516129032258,248,0,0.7008506532519573,calibrated,7,11 294 295 296 297 298 299,deterministic_5fold,CBF_normal_1,0.03614457831325301,0.004016064257028112,0.004016064257028112,experiment_152_virtual_run_conformal_policy_v2,CBF,6,294 295 296 297 298 299,human_assisted_diagnostic_only,"{""exp55_best"": 0.004016064257028112, ""exp56_best"": 0.004016064257028112, ""exp84"": 0.004016064257028112, ""rocket_exp40"": 0.004016064257028112}",300,248,293,0,,1,0,2,0,4,exp55_best exp56_best exp84 rocket_exp40,1,0.004016064257028112,0,0,0,4,1,11,128,exp152_b2_source_v2,6,0,0,1.0,1.0,1.0,0,1,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,6,1,0,0.8571428571428571,1.0,0.9230769230769231
0,"{""0"": 283, ""1"": 11, ""2"": 2, ""3"": 2, ""4"": 2}",0.05,rocket_exp40 exp55_best exp56_best exp84,3,6,294 295 296 297 298 299,0.012096774193548387,248,0,1.3429208275767814,0.11785831288172063,3,0.012096774193548387,2,6,294 295 296 297 298 299,0.008064516129032258,248,0,1.6067438666239298,calibrated,6,294 295 296 297 298 299,deterministic_5fold,CBF_normal_2,0.004016064257028112,0.004016064257028112,0.004016064257028112,experiment_152_virtual_run_conformal_policy_v2,CBF,6,294 295 296 297 298 299,human_assisted_diagnostic_only,"{""exp55_best"": 0.004016064257028112, ""exp56_best"": 0.004016064257028112, ""exp84"": 0.004016064257028112, ""rocket_exp40"": 0.004016064257028112}",300,248,294,0,,1,0,2,0,4,exp55_best exp56_best exp84 rocket_exp40,1,0.004016064257028112,0,0,0,4,0,,128,exp152_b2_source_v2,6,0,0,1.0,1.0,1.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,6,0,0,1.0,1.0,1.0
0,"{""0"": 288, ""1"": 4, ""2"": 2, ""3"": 4, ""4"": 2}",0.05,rocket_exp40 exp55_best exp56_best exp84,3,7,50 294 295 296 297 298 299,0.012096774193548387,248,0,1.5088050832046012,0.13700704595326005,3,0.012096774193548387,2,8,50 53 294 295 296 297 298 299,0.008064516129032258,248,0,1.5981795047067775,calibrated,8,33 50 294 295 296 297 298 299,deterministic_5fold,CBF_normal_3,0.008032128514056224,0.004016064257028112,0.004016064257028112,experiment_152_virtual_run_conformal_policy_v2,CBF,7,50 294 295 296 297 298 299,human_assisted_diagnostic_only,"{""exp55_best"": 0.004016064257028112, ""exp56_best"": 0.004016064257028112, ""exp84"": 0.004016064257028112, ""rocket_exp40"": 0.004016064257028112}",300,248,292,0,,1,0,2,0,4,exp55_best exp56_best exp84 rocket_exp40,1,0.004016064257028112,0,0,0,4,1,33,128,exp152_b2_source_v2,6,1,0,0.8571428571428571,1.0,0.9230769230769231,0,1,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,6,2,0,0.75,1.0,0.8571428571428571
0,"{""0"": 49, ""1"": 1, ""2"": 0, ""3"": 0, ""4"": 0}",0.05,rocket_exp40 exp55_best exp56_best exp84,0,3,0 1 49,0.0,24,0,0.8716462308344206,0.4549018495460648,0,0.0,0,3,0 1 49,0.0,24,0,2.1999752598784363,calibrated,0,,deterministic_5fold,Car_normal_1,0.16,1.0,0.04,experiment_152_virtual_run_conformal_policy_v2,Car,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.04, ""exp56_best"": 0.04, ""exp84"": 0.04, ""rocket_exp40"": 0.04}",50,24,50,0,,1,0,2,0,4,exp55_best exp56_best exp84 rocket_exp40,1,0.08,0,0,0,4,0,,577,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
0,"{""0"": 48, ""1"": 2, ""2"": 0, ""3"": 0, ""4"": 0}",0.05,rocket_exp40 exp55_best exp56_best exp84,0,1,49,0.0,24,0,0.6104160841083281,0.4546499957531735,0,0.0,0,1,49,0.0,24,0,1.8757280359519761,calibrated,0,,deterministic_5fold,Car_normal_2,0.28,1.0,0.04,experiment_152_virtual_run_conformal_policy_v2,Car,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.04, ""exp56_best"": 0.04, ""exp84"": 0.04, ""rocket_exp40"": 0.04}",50,24,50,0,,1,0,2,0,4,exp55_best exp56_best exp84 rocket_exp40,1,0.04,0,0,0,4,0,,577,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
0,"{""0"": 46, ""1"": 3, ""2"": 1, ""3"": 0, ""4"": 0}",0.05,rocket_exp40 exp55_best exp56_best exp84,0,1,2,0.0,24,0,0.8445775336333243,0.49223361924066544,0,0.0,0,1,2,0.0,24,0,0.869331917601739,calibrated,1,1,deterministic_5fold,Car_normal_3,0.04,1.0,0.04,experiment_152_virtual_run_conformal_policy_v2,Car,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.04, ""exp56_best"": 0.04, ""exp84"": 0.04, ""rocket_exp40"": 0.04}",50,24,49,0,,1,0,2,0,4,exp55_best exp56_best exp84 rocket_exp40,1,0.04,0,0,0,4,1,1,577,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
0,"{""0"": 49, ""1"": 1, ""2"": 0, ""3"": 0, ""4"": 0}",0.05,rocket_exp40 exp55_best exp56_best exp84,0,0,,0.0,24,0,0.6283747654743607,0.6639492244061508,0,0.0,0,1,49,0.0,24,0,0.5670478926019306,calibrated,0,,deterministic_5fold,Car_normal_4,0.28,1.0,0.16,experiment_152_virtual_run_conformal_policy_v2,Car,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.04, ""exp56_best"": 0.04, ""exp84"": 0.04, ""rocket_exp40"": 0.04}",50,24,50,0,,1,0,2,0,4,exp55_best exp56_best exp84 rocket_exp40,1,0.04,0,0,0,4,0,,577,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
0,"{""0"": 95, ""1"": 5, ""2"": 0, ""3"": 0, ""4"": 0}",0.05,rocket_exp40 exp55_best exp56_best exp84,1,0,,0.012048192771084338,83,0,0.5026702560494355,0.6763603521192424,1,0.012048192771084338,0,0,,0.0,83,0,0.5749479311221789,calibrated,0,,deterministic_5fold,Chinatown_normal_1,0.011904761904761904,0.2619047619047619,0.08333333333333333,experiment_152_virtual_run_conformal_policy_v2,Chinatown,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.011904761904761904, ""exp56_best"": 0.011904761904761904, ""exp84"": 0.011904761904761904, ""rocket_exp40"": 0.011904761904761904}",100,83,100,0,,1,0,2,0,4,exp55_best exp56_best exp84 rocket_exp40,1,0.047619047619047616,0,0,0,4,0,,24,exp152_b2_source_v2,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0
