dataset,test_length,hard_alert_count,hard_tp,hard_fp,hard_fn,hard_precision,hard_recall,hard_f1,standard_review_count,standard_review_tp,standard_review_fp,priority_review_count,priority_review_tp,priority_review_fp,combined_f1
CinCECGTorso_normal_1,350,7,7,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CinCECGTorso_normal_2,350,5,5,0,2,1.0,0.7142857142857143,0.8333333333333334,1,0,1,0,0,0,0.7692307692307693
CinCECGTorso_normal_3,350,7,7,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CinCECGTorso_normal_4,350,7,7,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Coffee_normal_0,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Coffee_normal_1,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
Computers_normal_1,250,1,0,1,5,0.0,0.0,0.0,1,0,1,0,0,0,0.0
Computers_normal_2,250,0,0,0,5,0.0,0.0,0.0,4,0,4,0,0,0,0.0
CricketX_normal_1,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CricketX_normal_10,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CricketX_normal_11,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
CricketX_normal_12,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
CricketX_normal_2,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CricketX_normal_3,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
CricketX_normal_4,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CricketX_normal_5,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
CricketX_normal_6,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
CricketX_normal_7,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
CricketX_normal_8,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CricketX_normal_9,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
CricketY_normal_1,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
CricketY_normal_10,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
CricketY_normal_11,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
